seqnames,start,end,width,strand,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,refseq,ensembl
chr1,6941873,6942684,812,*,23261,6767971,7752351,+,inside,173902,173902,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,6942946,6943670,725,*,23261,6767971,7752351,+,inside,174975,174975,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,7206146,7207099,954,*,23261,6767971,7752351,+,inside,438175,438175,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,7211294,7211626,333,*,23261,6767971,7752351,+,inside,443323,443323,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,7429650,7430118,469,*,23261,6767971,7752351,+,inside,661679,322233,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,7430263,7431097,835,*,23261,6767971,7752351,+,inside,662292,321254,Overlapping,CAMTA1,NM_001195563;NM_001242701;NM_001349608;NM_001349609;NM_001349610;NM_001349612;NM_001349613;NM_001349614;NM_001349615;NM_001349616;NM_001349617;NM_001349618;NM_001349619;NM_001349620;NM_001349621;NM_001349622;NM_001349623;NM_001349624;NM_001349625;NM_001349626;NM_001349627;NM_001349628;NM_015215;NP_001182492;NP_001229630;NP_001336537;NP_001336538;NP_001336539;NP_001336541;NP_001336542;NP_001336543;NP_001336544;NP_001336545;NP_001336546;NP_001336547;NP_001336548;NP_001336549;NP_001336550;NP_001336551;NP_001336552;NP_001336553;NP_001336554;NP_001336555;NP_001336556;NP_056030;NR_038934;NR_146202;NR_146203;NR_146204;XM_011541083;XM_011541084;XM_011541086;XM_011541087;XM_011541088;XM_011541090;XM_011541091;XM_011541092;XM_017000774;XM_017000777;XM_017000778;XM_017000780;XM_017000781;XM_024454329;XM_024454330;XM_024454331;XM_024454332;XM_024454333;XM_024454334;XM_024454335;XM_024454338;XP_011539385;XP_011539386;XP_011539388;XP_011539389;XP_011539390;XP_011539392;XP_011539393;XP_011539394;XP_016856263;XP_016856266;XP_016856267;XP_016856269;XP_016856270;XP_024310097;XP_024310098;XP_024310099;XP_024310100;XP_024310101;XP_024310102;XP_024310103;XP_024310106;XR_001737061;XR_001737062;XR_001737063;XR_001737064;XR_001737065;XR_001737066,ENSG00000171735
chr1,8007487,8008044,558,*,54206,7994381,8008943,-,inside,1456,899,Overlapping,ERRFI1,NM_018948;NP_061821;XM_005263477;XM_006710697;XM_011541596;XP_005263534;XP_006710760;XP_011539898,ENSG00000116285
chr1,8180306,8181052,747,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,8182761,8183420,660,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,8185163,8185665,503,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,8241218,8242794,1577,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,8972354,8972881,528,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,9095452,9096342,891,*,80045,9087063,9111943,-,inside,16491,8389,Overlapping,GPR157,NM_024980;NP_079256;XM_005263496;XM_005263497;XP_005263553;XP_005263554,ENSG00000180758
chr1,9279493,9280109,617,*,80176,9275571,9352177,+,inside,3922,3922,Overlapping,SPSB1,NM_025106;NP_079382,ENSG00000171621
chr1,9282734,9283297,564,*,80176,9275571,9352177,+,inside,7163,7163,Overlapping,SPSB1,NM_025106;NP_079382,ENSG00000171621
chr1,9367219,9367825,607,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,9459389,9460118,730,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,9932878,9933561,684,*,64802,9926073,9968143,+,inside,6805,6805,Overlapping,NMNAT1,NM_001297778;NM_001297779;NM_022787;NP_001284707;NP_001284708;NP_073624;XM_011541971;XM_017002107;XM_017002108;XP_011540273;XP_016857596;XP_016857597,ENSG00000173614
chr1,10001129,10001575,447,*,116362,9979861,9998665,+,downstream,21268,2464,Overlapping,RBP7,NM_052960;NP_443192;NR_138250,ENSG00000162444
chr1,10687077,10687750,674,*,54897,10619253,10779294,-,inside,92217,67824,Overlapping,CASZ1,NM_001039183;NM_001079843;NM_017766;NP_001073312;NP_060236;XM_005263479;XM_011541635;XM_017001539;XM_017001540;XM_017001541;XP_005263536;XP_011539937;XP_016857028;XP_016857029;XP_016857030,ENSG00000130940
chr1,10733762,10734272,511,*,54897,10619253,10779294,-,inside,45532,45022,Overlapping,CASZ1,NM_001039183;NM_001079843;NM_017766;NP_001073312;NP_060236;XM_005263479;XM_011541635;XM_017001539;XM_017001540;XM_017001541;XP_005263536;XP_011539937;XP_016857028;XP_016857029;XP_016857030,ENSG00000130940
chr1,10735004,10735437,434,*,54897,10619253,10779294,-,inside,44290,43857,Overlapping,CASZ1,NM_001039183;NM_001079843;NM_017766;NP_001073312;NP_060236;XM_005263479;XM_011541635;XM_017001539;XM_017001540;XM_017001541;XP_005263536;XP_011539937;XP_016857028;XP_016857029;XP_016857030,ENSG00000130940
chr1,11274902,11275665,764,*,29914,11255866,11270572,+,downstream,19036,4330,Overlapping,UBIAD1,NM_001330349;NM_001330350;NM_013319;NP_001317278;NP_001317279;NP_037451;XR_946616,ENSG00000120942
chr1,11466651,11467401,751,*,57540,11461882,11520227,+,inside,4769,4769,Overlapping,DISP3,NM_020780;NP_065831;XM_011541828;XM_011541829;XM_011541830;XM_011541831;XM_011541832;XM_011541833;XM_011541835;XP_011540130;XP_011540131;XP_011540132;XP_011540133;XP_011540134;XP_011540135;XP_011540137;XR_001737342;XR_946717,ENSG00000204624
chr1,12467926,12468661,736,*,55187,12212700,12494685,+,inside,255226,26024,Overlapping,VPS13D,NM_015378;NM_018156;NP_056193;NP_060626,ENSG00000048707
chr1,12468877,12469598,722,*,55187,12212700,12494685,+,inside,256177,25087,Overlapping,VPS13D,NM_015378;NM_018156;NP_056193;NP_060626,ENSG00000048707
chr1,12532133,12532991,859,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,12598269,12599052,784,*,9249,12550526,12600407,-,inside,2138,1355,Overlapping,DHRS3,NM_001319225;NM_001324370;NM_004753;NP_001306154;NP_001311299;NP_004744;XM_006711036;XM_017002809;XP_006711099;XP_016858298,ENSG00000162496
chr1,13776678,13777157,480,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,15224487,15225085,599,*,23254,14797800,15317131,+,inside,426687,92046,Overlapping,KAZN,NM_001017999;NM_001018000;NM_001018001;NM_015209;NM_201628;NP_001017999;NP_001018000;NP_001018001;NP_056024;NP_963922;XM_005245795;XM_011541074;XM_011541075;XM_011541076;XM_011541077;XM_011541080;XM_017000768;XM_017000769;XM_017000770;XM_017000771;XM_017000772;XP_005245852;XP_011539376;XP_011539377;XP_011539378;XP_011539379;XP_011539382;XP_016856257;XP_016856258;XP_016856259;XP_016856260;XP_016856261,ENSG00000189337
chr1,15428685,15429521,837,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,15483569,15484619,1051,*,114827,15446355,15599363,+,inside,37214,37214,Overlapping,FHAD1,NM_052929;NP_443161;XM_011540575;XM_011540576;XM_011540577;XM_011540580;XM_011540581;XM_011540582;XM_011540584;XM_011540588;XM_011540590;XM_011540592;XM_011540593;XM_011540595;XM_011540596;XM_011540597;XM_011540598;XM_017000198;XM_017000199;XM_017000200;XM_017000201;XM_017000202;XM_017000203;XM_017000204;XM_017000205;XM_017000206;XM_017000207;XM_017000208;XM_017000210;XM_017000211;XM_017000212;XM_017000213;XM_017000214;XM_024452887;XM_024452892;XM_024452898;XM_024452903;XM_024452908;XM_024452909;XM_024452912;XM_024452916;XM_024452918;XP_011538877;XP_011538878;XP_011538879;XP_011538882;XP_011538883;XP_011538884;XP_011538886;XP_011538890;XP_011538892;XP_011538894;XP_011538895;XP_011538897;XP_011538898;XP_011538899;XP_011538900;XP_016855687;XP_016855688;XP_016855689;XP_016855690;XP_016855691;XP_016855692;XP_016855693;XP_016855694;XP_016855695;XP_016855696;XP_016855697;XP_016855699;XP_016855700;XP_016855701;XP_016855702;XP_016855703;XP_024308655;XP_024308660;XP_024308666;XP_024308671;XP_024308676;XP_024308677;XP_024308680;XP_024308684;XP_024308686,ENSG00000142621
chr1,15604194,15604718,525,*,114827,15446355,15599363,+,downstream,157839,4831,Overlapping,FHAD1,NM_052929;NP_443161;XM_011540575;XM_011540576;XM_011540577;XM_011540580;XM_011540581;XM_011540582;XM_011540584;XM_011540588;XM_011540590;XM_011540592;XM_011540593;XM_011540595;XM_011540596;XM_011540597;XM_011540598;XM_017000198;XM_017000199;XM_017000200;XM_017000201;XM_017000202;XM_017000203;XM_017000204;XM_017000205;XM_017000206;XM_017000207;XM_017000208;XM_017000210;XM_017000211;XM_017000212;XM_017000213;XM_017000214;XM_024452887;XM_024452892;XM_024452898;XM_024452903;XM_024452908;XM_024452909;XM_024452912;XM_024452916;XM_024452918;XP_011538877;XP_011538878;XP_011538879;XP_011538882;XP_011538883;XP_011538884;XP_011538886;XP_011538890;XP_011538892;XP_011538894;XP_011538895;XP_011538897;XP_011538898;XP_011538899;XP_011538900;XP_016855687;XP_016855688;XP_016855689;XP_016855690;XP_016855691;XP_016855692;XP_016855693;XP_016855694;XP_016855695;XP_016855696;XP_016855697;XP_016855699;XP_016855700;XP_016855701;XP_016855702;XP_016855703;XP_024308655;XP_024308660;XP_024308666;XP_024308671;XP_024308676;XP_024308677;XP_024308680;XP_024308684;XP_024308686,ENSG00000142621
chr1,15604194,15604718,525,*,79180,15609028,15629422,+,upstream,-4834,4310,Overlapping,EFHD2,NM_024329;NP_077305;XM_005246000;XP_005246057,ENSG00000142634
chr1,15662018,15662772,755,*,63036,15655811,15671169,+,inside,6207,6207,Overlapping,CELA2A,NM_033440;NP_254275,ENSG00000142615
chr1,15682059,15682571,513,*,51032,15675183,15690482,+,inside,6876,6876,Overlapping,CELA2B,NM_015849;NP_056933,ENSG00000215704
chr1,15998952,16000112,1161,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,16342473,16343175,703,*,1969,16323419,16355151,-,inside,12678,11976,Overlapping,EPHA2,NM_001329090;NM_004431;NP_001316019;NP_004422;XM_017000537;XP_016856026,ENSG00000142627
chr1,16372492,16373079,588,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,16374920,16375503,584,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,16807015,16808872,1858,*,55672,16762999,16812569,-,inside,5554,3697,Overlapping,NBPF1,NM_017940;NP_060410,ENSG00000219481
chr1,16812995,16814381,1387,*,55672,16762999,16812569,-,upstream,-426,426,Overlapping,NBPF1,NM_017940;NP_060410,ENSG00000219481
chr1,16812995,16814381,1387,*,84809,16817340,16843765,-,downstream,30770,2959,Overlapping,CROCCP2,NR_026752,ENSG00000215908
chr1,16912290,16913016,727,*,284729,16890300,16919239,-,inside,6949,6223,Overlapping,ESPNP,NR_026567,ENSG00000268869
chr1,17228574,17228984,411,*,6390,17217812,17253252,-,inside,24678,10762,Overlapping,SDHB,NM_003000;NP_002991,ENSG00000117118
chr1,17432712,17433285,574,*,29943,17404208,17445088,+,inside,28504,11803,Overlapping,PADI1,NM_013358;NP_037490;XM_011541307;XM_017001101;XM_017001102;XM_017001103;XP_011539609;XP_016856590;XP_016856591;XP_016856592;XR_001737130;XR_001737131;XR_946617;XR_946619;XR_946620,ENSG00000142623;ENSG00000281459
chr1,17503293,17503990,698,*,23569,17507279,17563082,+,upstream,-3986,3289,Overlapping,PADI4,NM_012387;NP_036519;XM_011541150;XM_011541151;XM_011541152;XM_011541153;XM_011541154;XM_011541155;XM_011541156;XM_011541157;XP_011539452;XP_011539453;XP_011539454;XP_011539455;XP_011539456;XP_011539457;XP_011539458;XP_011539459,ENSG00000159339;ENSG00000280908
chr1,17513708,17514301,594,*,23569,17507279,17563082,+,inside,6429,6429,Overlapping,PADI4,NM_012387;NP_036519;XM_011541150;XM_011541151;XM_011541152;XM_011541153;XM_011541154;XM_011541155;XM_011541156;XM_011541157;XP_011539452;XP_011539453;XP_011539454;XP_011539455;XP_011539456;XP_011539457;XP_011539458;XP_011539459,ENSG00000159339;ENSG00000280908
chr1,17667943,17668244,302,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,17719182,17720039,858,*,55160,17719414,17896957,+,overlapStart,-232,232,Overlapping,ARHGEF10L,NM_001011722;NM_001319837;NM_001319838;NM_001328124;NM_018125;NP_001011722;NP_001306766;NP_001306767;NP_001315053;NP_060595;NR_137287;NR_137288;XM_005245923;XM_005245925;XM_005245929;XM_006710728;XM_006710729;XM_006710731;XM_011541691;XM_011541692;XM_011541693;XM_017001617;XM_017001618;XM_017001619;XM_017001620;XM_017001621;XM_017001622;XM_024448059;XM_024448061;XM_024448062;XP_005245980;XP_005245982;XP_005245986;XP_006710791;XP_006710792;XP_006710794;XP_011539993;XP_011539994;XP_011539995;XP_016857106;XP_016857107;XP_016857108;XP_016857109;XP_016857110;XP_016857111;XP_024303827;XP_024303829;XP_024303830;XR_001737276;XR_001737277;XR_002956988;XR_002956989;XR_946686;XR_946688;XR_946689;XR_946690;XR_946691,ENSG00000074964
chr1,17724067,17724652,586,*,55160,17719414,17896957,+,inside,4653,4653,Overlapping,ARHGEF10L,NM_001011722;NM_001319837;NM_001319838;NM_001328124;NM_018125;NP_001011722;NP_001306766;NP_001306767;NP_001315053;NP_060595;NR_137287;NR_137288;XM_005245923;XM_005245925;XM_005245929;XM_006710728;XM_006710729;XM_006710731;XM_011541691;XM_011541692;XM_011541693;XM_017001617;XM_017001618;XM_017001619;XM_017001620;XM_017001621;XM_017001622;XM_024448059;XM_024448061;XM_024448062;XP_005245980;XP_005245982;XP_005245986;XP_006710791;XP_006710792;XP_006710794;XP_011539993;XP_011539994;XP_011539995;XP_016857106;XP_016857107;XP_016857108;XP_016857109;XP_016857110;XP_016857111;XP_024303827;XP_024303829;XP_024303830;XR_001737276;XR_001737277;XR_002956988;XR_002956989;XR_946686;XR_946688;XR_946689;XR_946690;XR_946691,ENSG00000074964
