go.id,go.term,Definition,Ontology,pvalue,count.InDataset,count.InGenome,totaltermInDataset,totaltermInGenome,BH.adjusted.p.value,EntrezID
GO:0006629,lipid metabolic process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.",BP,5.96368776491124e-6,291,1338,252042,1476651,0.0013111230994644221,23205;51;8529;1906;5740;5742;9536;10082;231;24;2817;3339;345;4036;53630;5959;6010;6382;6383;6385;64220;8644;9249;11001;224;9331;338596;53947;1374;2181;5066;220;27315;51227;5279;80235;197322;54576;5577;80221;8879;948;11343;31;32;3990;51422;5562;79152;1891;1892;1962;3952;5467;80724;3992;54898;60481;6319;9415;11145;64788;6583;847;857;23175;388121;50487;5305;5333;8605;55224;85465;51196;200879;23171;253558;56894;79888;8399;84803;9489;10809;23446;56994;1040;256987;81490;26090;26751;27124;3631;3635;5287;5288;54545;55697;57605;8395;8821;8871;9108;27090;124976;81537;2527;55512;64781;7357;259230;285362;3073;412;57488;83850;8706;9215;1646;4047;5087;55809;5618;1718;2539;7108;10858;114876;114881;1582;8309;8647;9885;949;51171;51741;6818;6820;1050;19;26119;3069;4779;57540;6256;6653;6720;8029;8431;8720;9619;2494;5205;10202;2099;25976;27235;729920;154141;390916;51179;91452;6483;6484;2954;5166;55066;5155;10062;440503;84649;183;113026;134;257068;340204;345557;375775;389383;5332;54979;57552;8398;207;10498;12;2274;27063;29103;29841;3172;4862;51280;51599;5244;54600;64919;7296;80183;80205;8800;9572;9611;9612;6095;6097;747;241;114757;5447;5468;79602;84532;84693;10715;151742;165679;204219;222;253782;29956;55304;5587;79603;8613;208;8912;27122;2108;3712;1384;55289;8310;79153;1592;340665;114884;2695;1591;51588;54577;4644;5934;1154;29062;10451;1236;2185;2261;2321;2322;4067;5747;64127;7410;153090;2950;23541;3837;85414;8013;55198;8527;55258;11057;4258;27132;117283;5027;129303;22979;3613;84668;3632;64784;5581;2852;3417;116986;5629;9965;5580;824;1191;1399;221895;23228;27034;5334;5799;7026;81544
GO:0006820,anion transport,"The directed movement of anions, atoms or small molecules with a net negative charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,6.83494498697335e-4,122,542,252042,1476651,0.04708365770026376,6533;24;5027;10316;115019;121601;196527;50636;5349;55107;57282;9058;89874;10165;6505;6506;6507;1374;31;32;51422;118980;124935;153201;23428;57709;6510;6520;6542;81539;94097;26266;57120;207;208;4915;6804;6857;8497;4923;134;2917;18;57835;6522;23632;3040;375611;763;768;771;6528;10057;85320;6567;5205;6256;8647;8714;1244;10559;56606;54020;388662;8140;29957;2348;6573;10227;5467;5468;114884;26207;388121;57605;949;9885;5167;56172;8529;1906;5025;8399;3952;4843;10809;5244;9368;19;345;9619;9194;9123;4779;9311;28231;28232;5174;11001;2181;6198;948;10079;23250;3783;4363;189;50487;624;3766;477;51761;6513;8398;5580;387254;1364;57101;4036;183;27347;9611
GO:0006892,post-Golgi vesicle-mediated transport,"The directed movement of substances from the Golgi to other parts of the cell, including organelles and the plasma membrane, mediated by small transport vesicles.",BP,7.29528522262743e-4,25,77,252042,1476651,0.04907563608531697,10564;1785;403;54520;57120;9135;55614;79585;9980;1445;163882;2181;3875;9919;11031;23062;23499;64083;6711;55062;3916;51479;55297;4644;6653
GO:0006928,movement of cell or subcellular component,"The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.",BP,1.55401934403113e-4,406,2012,252042,1476651,0.0161603353676982,2066;23603;3091;58495;5979;1020;1399;23284;23314;2534;26053;266727;323;4897;4915;4916;51473;55140;5747;6695;7026;80128;84197;8829;9201;92737;9423;9620;2050;207;6091;5629;2867;1235;1236;196527;101;1991;3689;6280;6376;2321;3570;5155;55512;134;3673;623;2155;29;613;2348;123872;154313;1767;54768;55036;2622;83853;284076;122786;57669;5788;22920;23303;26153;3797;3831;3837;50487;79582;9148;1002;10512;1400;151449;1826;2049;2131;23114;2674;2736;2817;2887;2909;3730;4009;4684;51466;5578;55816;57731;5909;59277;6092;6324;6405;6477;64855;655;6586;6711;6712;7143;729920;7430;7869;8013;8399;8633;8828;90249;9211;9369;9378;9499;9846;2064;89884;10239;1176;127829;8546;8943;667;1464;7042;1525;2296;8613;4627;4643;4644;4650;168667;2013;183;1906;2185;2324;23328;27086;54828;5587;652;949;9564;153090;5176;56999;23499;5793;1512;1793;5581;6239;6662;7429;80005;8766;59341;7145;84159;8879;2768;55198;6385;5058;114757;102;27347;6653;596;8840;9759;5467;10082;10103;10298;126353;1289;1942;1969;221178;23022;23286;2530;25805;3280;357;378;3915;3936;399687;4773;5420;55616;5590;5792;64083;64759;6548;694;7074;7410;81792;83666;8826;9289;967;4137;55638;91584;3912;23224;23353;89927;10718;5362;4604;4703;7139;7170;7171;81;8911;208;23678;3909;4000;4248;57662;57707;84612;100048912;10457;10507;10519;153769;2041;2651;2852;29984;3480;3643;3685;3918;4067;4088;4638;4680;4739;57214;57580;59352;5962;6774;80139;80781;81029;84904;857;10076;10395;104;11009;11057;11122;11188;140;1602;22998;2309;23189;23613;348110;4286;5795;753;8428;9231;9368;94241;999;10451;1441;3680;5144;3603;1946;219699;64919;55764;3842;55112;56912;9742;57449;2059;81704;3315;403;3397;154810;5025;8817;5468;5829;6286;90627;3064;10128;221692;3691;10461;119;2302;23428;2683;2888;3635;4099;481;50848;5777;6382;6383;6520;682;8140;8793;9123;965;3952;50512;116985;5314;87;928;7060;9922;56776;286204;1769;55567;1902;409;4363;5580;9732;57118;57402;2950;4781;5727;79443;118426;23299;55686;636;124976;775;776;817;2626;287;477;6717;23171;23327;3784;23604;8291;27202;4681;4215;29775;54437;8456;9531;1832;29119;3752;1740;29956;27161;64750;6865;3916;4744;90102;9722;3418;4193;7015;57007;7369;1021;2069;2192;50859;375611;3554;23654;23060;26012
GO:0006935,chemotaxis,"The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).",BP,1.33039807789733e-4,128,551,252042,1476651,0.014942394933601206,2867;1235;1236;196527;2321;3570;5155;2155;1002;10512;1400;151449;1826;2049;2131;23114;2534;2674;2736;2817;2887;2909;323;3730;4009;4684;51466;5578;55816;5747;57731;5909;59277;5979;6091;6092;6324;6405;6477;64855;655;6586;6711;6712;7143;729920;7430;7869;8013;8399;8633;8828;8829;90249;9211;9369;9378;9499;9846;1020;2064;89884;2185;59341;102;27347;91584;10718;10451;1441;1525;3680;3689;5144;57580;6280;7042;3603;6376;1946;4897;219699;9423;57449;3315;5587;101;10457;10584;5228;5795;6359;652;7423;3685;54437;5025;1991;3673;4088;4916;1399;1902;1969;409;4363;5580;9564;9732;57118;57402;2950;64919;4781;5727;1906;23604;7060;8291;27202;4067;4681;7074;8817;152189;2359;5288;8398
GO:0007009,plasma membrane organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the plasma membrane.",BP,2.49118631259117e-5,32,91,252042,1476651,0.004127087886873941,26509;4627;8291;196527;5027;1191;79152;10397;207;208;64398;287;5788;1289;367;7042;121601;50636;857;858;257364;29993;5580;1785;7357;2934;10458;53947;55971;6711;79633;92154
GO:0007010,cytoskeleton organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.",BP,1.25438534675692e-4,240,1125,252042,1476651,0.014243476690153028,126353;3064;4926;4627;1020;1267;1400;2009;23363;25897;4137;4744;5590;5747;57662;6314;90102;10015;27183;284076;80128;84722;10458;119;2059;29984;3936;4082;4739;7430;81;87;2934;5962;7429;822;11034;57553;9645;85477;10049;10391;10395;10420;11188;152273;221472;2245;23002;2302;23022;23092;2317;23189;23370;23603;29;3706;55785;56907;57591;613;64423;79983;81532;81788;832;84448;84501;89846;93627;9368;4703;2013;226;27295;29993;51466;59341;596;8470;9564;57731;83660;10844;1453;10519;50810;89927;55857;7405;1104;6867;115106;116840;9662;50487;79582;9148;2909;7456;158135;401720;55137;23242;442721;57580;79585;79778;128866;5314;7517;23224;23353;116985;5629;9113;5580;9026;1236;2185;25802;5581;55971;2036;3551;4000;3837;8766;54828;221692;22998;399687;50848;54822;220134;348235;2288;58497;27124;6904;5058;6188;10345;27175;84376;1525;23043;26037;26053;55561;5770;84168;8829;3397;3984;6376;1946;5066;9620;10095;154313;2622;57545;6101;123872;1767;55036;221061;3693;408;342184;3850;3875;667;8419;1832;3267;5317;27063;3856;845;84665;4591;348110;9611;26112;56776;9639;55616;6548;7840;6280;824;5027;10411;1902;2041;22899;285590;4088;55160;5829;6281;6385;50853;6711;6712;29767;7139;51761;1906;23299;2932;5562;636;23345;9897;4605;49856;9722;10274;54768;4853;4916;10296;10298;113251;1793;23094;286;287;3860;3983;5064;51196;5819;58480;6662;6840
GO:0007015,actin filament organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking.",BP,2.51627346243161e-5,85,325,252042,1476651,0.004127087886873941,10458;119;2059;29984;3936;4082;4739;7430;81;87;2934;5962;7429;822;11034;57553;9645;85477;2909;51466;7456;23242;442721;57580;79585;79778;116985;5629;9113;23189;5580;9026;1236;2185;25802;5581;55971;3397;3984;6376;10095;221061;221692;3693;408;342184;56907;84501;348110;55616;6548;7840;10411;1902;2041;22899;22998;285590;4088;5058;55160;5829;6281;6385;8829;9639;10391;10395;90102;50853;57731;6711;6712;29767;7139;56776;2013;226;27295;29993;59341;596;79983;8470;9564
GO:0007044,cell-substrate junction assembly,"The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate.",BP,2.02259610177454e-4,31,96,252042,1476651,0.01990427192346316,3691;3909;3915;3918;5339;10391;10395;10420;2185;29984;3673;596;87;1946;22998;23499;23603;5747;57662;6548;342184;4088;57669;5795;6281;6385;8826;8829;54828;90102;7145
GO:0007155,cell adhesion,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.",BP,2.28643594405636e-6,294,1338,252042,1476651,7.159315942404355e-4,1002;1525;23705;2895;4680;7369;79633;596;1021;10519;1236;2013;2041;2185;2932;5590;6376;948;7042;57669;5788;1015;11122;152404;1826;1952;221935;23654;54549;55714;56134;56135;56136;56137;56138;56139;56140;56141;56142;56143;56144;56145;56146;56147;5819;5979;6091;6092;64072;64084;9620;9752;999;4685;7143;9369;9378;9379;3689;7430;1020;10516;11093;158326;3673;3685;3691;3693;5829;7074;81792;967;102;10507;2192;5420;7045;421;5581;10391;2651;6695;6904;1364;23562;51208;53842;9074;9075;9080;54822;3912;101;1946;2049;5747;4651;55083;28514;2934;3909;5795;6662;8502;1445;207;23308;2534;4067;5058;5062;5777;857;4091;5467;2302;652;2064;2736;199920;3694;1399;1942;1969;10076;8613;5962;80139;23114;4897;965;4155;655;10461;3915;55698;79778;84168;8829;3397;3280;3952;80381;6188;10457;6385;9231;861;864;51043;144100;441478;57178;4602;3566;5914;10451;29984;463;5578;7052;8291;9289;22920;53827;3707;83737;64127;10395;10420;87;51571;119;50512;64083;8546;8943;22998;23499;23603;57662;6548;342184;4088;6281;8826;54828;90102;80709;10049;677;6280;3315;4627;7060;1832;29119;3801;170692;18;5580;928;56999;59341;10298;10458;10611;11135;23650;257194;2889;302;3875;5314;55971;7455;81671;84059;8416;9423;23284;4099;266727;79414;22854;3556;5792;5802;23189;81;1785;1793;201294;4739;57580;6239;80005;8013;1991;81704;3169;64332;57045;1604;10296;10428;1232;1285;1289;1441;1462;1500;1501;2050;22798;23037;23384;253559;259;2683;3026;340267;341640;3680;3682;3730;388585;3918;401138;4026;4045;4604;4608;4684;481;50848;50863;5239;5317;57007;60484;6324;63827;667;79977;79987;8038;80781;8082;83660;8496;8828;9223;9564
GO:0007167,enzyme linked receptor protein signaling pathway,"Any series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with regulation of a downstream cellular process, e.g. transcription.",BP,3.88536559456802e-6,220,968,252042,1476651,0.0010305471827519678,652;10256;11122;1464;2064;2066;2889;4067;4916;55816;5793;624;9846;4052;134;2069;9148;54206;9052;10718;1946;5618;207;222584;374;378;51196;55532;55614;6662;7429;84985;8527;8826;9185;9564;10454;23370;2353;2530;25805;2651;28996;3397;3693;4088;409;4091;5045;50848;55198;5590;56288;57045;5747;57530;5829;6498;7042;6711;10076;5792;7204;10458;1176;208;2308;245972;245973;29988;3480;3643;50617;51382;5166;5770;6720;858;10817;131405;1399;152831;200734;2261;2263;3730;4670;54845;79633;80004;8817;9965;2155;5795;9368;11030;151449;392255;655;56937;753;2348;27122;64750;80139;55512;860;5046;116844;114990;1785;283149;50515;51341;63976;79674;857;2626;286204;3280;388585;4926;10140;168667;4036;4681;26509;153090;4734;64855;2321;2887;3091;4915;23105;10468;3547;5155;2674;55959;5979;3315;5587;1285;2296;2322;2324;8828;60436;5578;5782;8829;2817;90993;89853;27246;58513;3487;367;116985;183;2852;3092;84632;9026;340706;55971;23189;2888;5167;5562;5580;5791;6198;3952;5058;51043;25976;4643;613;8013;84159;8879;10451;1793;2185;2534;3685;5062;5228;6461;7410;7423;7867;9261;3249;10095;161;1942;1969;2041;2049;2050;26037;285220;2902;51107;6383;64283;6453;7074;8997;1489;58495;3172;6774;28514;967;6091;81792
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,"A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription.",BP,6.33660418797709e-6,159,669,252042,1476651,0.0013553695654097593,134;2069;9148;54206;9052;10718;1946;5618;207;222584;374;378;51196;55532;55614;6662;7429;84985;8527;8826;9185;9564;10458;1176;208;2308;245972;245973;29988;3480;3643;50617;51382;5166;5770;6720;858;10817;131405;1399;152831;200734;2261;2263;3730;4670;54845;79633;80004;8817;9965;2155;5795;9368;26509;153090;4734;64855;2321;2887;3091;4915;23105;5155;2674;55959;5979;3315;5587;1285;2296;2322;2324;8828;2064;2066;5578;5782;8829;860;2817;90993;89853;27246;58513;3487;367;116985;183;2852;3092;84632;9026;340706;55971;23189;2888;5167;5562;5580;5590;5791;6198;3952;5058;51043;25976;2889;4643;55512;613;8013;84159;8879;10451;1793;2185;2534;3685;5062;5228;5747;5829;6461;7410;7423;7867;9261;3249;10095;161;1942;1969;2041;2049;2050;26037;285220;2902;4067;4916;51107;6383;64283;6453;7074;8997;55816;6774;28514;967;6091;81792;10256;11122;1464;5793;624;9846
GO:0007264,small GTPase mediated signal transduction,Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals.,BP,6.64668294962258e-6,117,465,252042,1476651,0.0013736034983690025,10256;1399;1718;1786;2782;51196;5587;5900;6239;8844;9423;9869;3984;4650;50650;64787;9289;9411;9620;11188;2059;28988;58480;7074;3837;10564;23362;23550;9922;57706;9649;10411;2889;5906;5962;19;345;8829;1785;26053;10160;10451;152273;221178;221472;2245;22899;23101;23189;23263;23268;23370;26084;29;50649;54848;55160;55785;57449;57580;613;64283;6453;7204;7410;84904;89846;8997;9639;10395;2909;1902;408;6091;3707;4067;4853;10156;153090;22821;7042;79109;8437;1124;116984;116985;23092;23094;23108;23779;26037;29984;399;57186;57522;5909;79658;83478;84253;90627;9754;9886;9901;10044;10188;1793;403;51195;54453;57572;6478;80005;81704;8412;85004;9732;9771
GO:0007265,Ras protein signal transduction,A series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state.,BP,6.76361543749439e-5,83,324,252042,1476651,0.009444383556166152,10256;3984;4650;50650;64787;9289;9411;9620;11188;2059;28988;58480;7074;3837;10564;23362;23550;9922;57706;9649;10411;2889;5906;5962;9423;19;345;8829;1785;26053;10160;10451;152273;221178;221472;2245;22899;23101;23189;23263;23268;23370;26084;29;50649;54848;55160;55785;57449;57580;613;64283;6453;7204;7410;84904;89846;8997;9639;10395;2909;1902;408;6091;51196;1399;3707;4067;4853;10156;153090;22821;7042;79109;8437;1718;1786;2782;5587;5900;6239;8844;9869
GO:0007266,Rho protein signal transduction,A series of molecular signals within the cell that are mediated by a member of the Rho family of proteins switching to a GTP-bound active state.,BP,7.00248172902466e-5,47,159,252042,1476651,0.009520611013948922,9423;19;345;8829;10160;10451;152273;221178;221472;2245;22899;23101;23189;23263;23268;23370;26084;29;4650;50649;50650;54848;55160;55785;57449;57580;613;64283;6453;64787;7074;7204;7410;84904;89846;8997;9639;10395;2909;1902;408;6091;9289;10256;3984;9411;9620
